PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
"Dwyane Wade","MIA",37,69,34,35,25.8,14.6,5.6,13.0,43.5,1.1,3.4,32.3,2.2,3.2,69.7,1.0,2.9,3.9,4.1,2.3,0.9,0.5,1.6,27.2,3,0,-0.9

"Jabari Parker","WAS",24,64,18,46,26.9,14.5,5.8,11.7,49.3,1.0,3.0,31.3,2.0,2.9,71.2,1.2,5.3,6.6,2.4,2.4,0.7,0.5,2.3,27.2,8,0,-3.2

"Goran Dragic","MIA",32,33,15,18,27.6,14.5,5.2,12.4,42.4,1.7,4.8,35.0,2.4,3.0,78.8,0.5,2.5,3.1,4.7,2.0,0.8,0.2,2.3,26.1,4,1,0.8

"Kyle Lowry","TOR",33,64,46,18,33.9,14.4,4.7,11.4,41.5,2.5,7.0,35.0,2.5,3.0,83.2,0.6,4.1,4.7,8.7,2.8,1.4,0.5,2.6,35.9,20,2,8.3

"Bobby Portis","WAS",24,48,14,34,26.1,14.3,5.6,12.6,44.8,1.5,3.8,39.3,1.5,2.0,78.7,2.1,5.9,8.0,1.4,1.5,0.7,0.4,2.9,28.0,13,0,-2.5

"Walter Lemon Jr.","CHI",26,4,1,3,30.2,14.3,6.5,14.8,44.1,0.0,0.8,0.0,1.3,2.0,62.5,0.3,4.0,4.3,6.0,1.8,2.8,0.3,2.3,35.6,0,0,-4.3

"Steven Adams","OKC",25,77,44,33,33.7,14.1,6.1,10.2,60.0,0.0,0.0,0.0,1.8,3.7,50.0,4.9,4.7,9.6,1.6,1.7,1.5,1.0,2.5,33.8,29,0,4.6

"Bogdan Bogdanovic","SAC",26,68,32,36,27.8,14.1,5.1,12.2,42.1,1.9,5.2,36.1,1.9,2.4,82.5,0.6,2.9,3.5,3.9,1.7,1.0,0.2,2.1,26.2,1,0,-0.5

"Domantas Sabonis","IND",22,73,43,30,24.8,14.1,5.5,9.4,58.9,0.1,0.2,52.9,2.8,4.0,71.6,2.5,6.8,9.3,2.9,2.2,0.7,0.4,3.2,30.5,29,0,2.9

"Marcus Morris","BOS",29,74,44,30,27.8,14.0,5.1,11.3,44.9,1.9,5.2,37.6,1.9,2.2,83.7,1.0,5.1,6.1,1.5,1.2,0.6,0.3,2.4,24.9,5,0,1.0

"Otto Porter Jr.","CHI",25,56,25,31,30.1,13.9,5.3,11.5,46.5,1.9,4.6,40.6,1.4,1.7,81.3,1.0,4.6,5.6,2.1,1.2,1.5,0.6,1.9,28.8,6,0,-0.4

"Rudy Gay","SAS",32,67,40,27,26.8,13.9,5.5,10.9,50.7,1.1,2.7,40.9,1.7,2.1,82.4,0.9,5.9,6.8,2.7,1.6,0.8,0.5,2.3,28.3,9,0,2.3

"Jaren Jackson Jr.","MEM",19,58,23,35,26.1,13.8,5.1,10.2,50.6,0.9,2.4,35.9,2.6,3.4,76.6,1.3,3.4,4.7,1.1,1.7,0.9,1.4,3.8,26.3,2,0,-1.8

"Marc Gasol","TOR",34,77,37,40,30.9,13.7,5.0,11.2,44.7,1.3,3.5,36.1,2.4,3.2,76.3,1.0,6.9,7.9,4.4,2.0,1.1,1.1,2.7,34.5,19,1,1.7

"Caris LeVert","BKN",24,38,17,21,26.7,13.7,5.2,12.2,42.4,1.2,3.9,31.3,2.1,3.1,69.0,0.8,2.9,3.8,3.9,1.8,1.1,0.3,1.9,26.5,0,0,-0.9

"Joe Harris","BKN",27,75,40,35,30.2,13.6,4.9,9.8,49.8,2.4,5.1,47.2,1.5,1.7,83.2,0.7,3.1,3.8,2.4,1.6,0.5,0.2,2.4,22.4,0,0,-1.2
